book_id,title,author,genre,publication_year,publisher,language,page_count,rating,description,isbn,price
177,The Da Vinci Code,Dan Brown,Thriller,2003,Anchor,English,489,4.2,"A mystery thriller about a conspiracy in the Catholic Church.",978-0307474278,9.99
178,The Hunger Games,Suzanne Collins,Dystopian,2008,Scholastic Press,English,374,4.7,"A dystopian novel about a televised fight to the death.",978-0439023481,14.99
179,The Fault in Our Stars,John Green,Romance,2012,Dutton Books,English,313,4.7,"A young adult novel about two teenagers with cancer.",978-0525478812,12.99
180,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,2005,Vintage,English,465,4.4,"A crime thriller about a journalist and a hacker.",978-0307454546,15.99
181,The Help,Kathryn Stockett,Historical Fiction,2009,Berkley,English,451,4.8,"A novel about African American maids in 1960s Mississippi.",978-0425232200,16.99
182,The Martian,Andy Weir,Science Fiction,2011,Broadway Books,English,369,4.7,"A science fiction novel about an astronaut stranded on Mars.",978-0553418026,15.99
183,The Handmaid's Tale,Margaret Atwood,Dystopian,1985,Anchor,English,311,4.7,"A dystopian novel about a totalitarian society.",978-0525562627,14.99
184,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,DAW,English,662,4.8,"A fantasy novel about a musician and magician.",978-0756404741,17.99
185,The Silent Patient,Alex Michaelides,Thriller,2019,Celadon Books,English,352,4.5,"A psychological thriller about a woman who shoots her husband.",978-1250301697,16.99
186,The Midnight Library,Matt Haig,Fantasy,2020,Viking,English,304,4.4,"A novel about infinite possibilities and parallel lives.",978-0525559474,15.99
187,Project Hail Mary,Andy Weir,Science Fiction,2021,Ballantine Books,English,496,4.8,"A science fiction novel about an astronaut's mission to save humanity.",978-1524741338,17.99
188,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,2017,Atria Books,English,389,4.7,"A novel about a reclusive Hollywood legend.",978-1501161933,16.99
189,Verity,Colleen Hoover,Thriller,2018,Grand Central Publishing,English,336,4.6,"A psychological thriller about a writer's dark secrets.",978-1538724736,15.99
190,The House in the Cerulean Sea,T.J. Klune,Fantasy,2020,Tor Books,English,398,4.8,"A fantasy novel about a caseworker at a magical orphanage.",978-1250217288,16.99
191,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,2020,Tor Books,English,448,4.7,"A fantasy novel about a woman who makes a Faustian bargain.",978-0765387561,17.99
192,The Thursday Murder Club,Richard Osman,Mystery,2020,Pamela Dorman Books,English,384,4.5,"A mystery novel about a group of elderly friends solving crimes.",978-0241988268,16.99
193,The Last Thing He Told Me,Laura Dave,Thriller,2021,Simon & Schuster,English,320,4.6,"A thriller about a woman searching for her missing husband.",978-1501171345,15.99
194,The Lincoln Highway,Amor Towles,Historical Fiction,2021,Viking,English,592,4.7,"A novel about a road trip across 1950s America.",978-0735222359,18.99
195,The Paris Apartment,Lucy Foley,Thriller,2022,William Morrow,English,416,4.4,"A thriller set in a Paris apartment building.",978-0008384745,16.99
196,The Maid,Nita Prose,Mystery,2022,Ballantine Books,English,304,4.5,"A mystery novel about a hotel maid who finds a dead guest.",978-0593356159,15.99
197,The Great Expectations,Charles Dickens,Classic,1861,Penguin Classics,English,544,4.7,"A coming-of-age novel about Pip's journey to becoming a gentleman.",978-0141439563,9.99
198,The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,Penguin Classics,English,1276,4.8,"An adventure novel about revenge and redemption.",978-0140449266,12.99
199,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880,Penguin Classics,English,796,4.8,"A philosophical novel about family, faith, and morality.",978-0140449242,14.99
200,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,Penguin Classics,English,254,4.6,"A Gothic novel about a man who remains young while his portrait ages.",978-0141439570,7.99
201,The Bell Jar,Sylvia Plath,Psychological,1963,Harper Perennial,English,288,4.5,"A semi-autobiographical novel about mental illness.",978-0060837020,14.99
202,The Road,Cormac McCarthy,Post-Apocalyptic,2006,Vintage,English,287,4.7,"A post-apocalyptic novel about a father and son's journey.",978-0307387899,15.99
203,The Secret History,Donna Tartt,Psychological,1992,Vintage,English,559,4.5,"A psychological thriller about a group of classics students.",978-1400031702,16.99
204,The Goldfinch,Donna Tartt,Drama,2013,Little,English,771,4.4,"A novel about a boy who survives a terrorist attack.",978-0316055437,18.99
205,The Night Circus,Erin Morgenstern,Fantasy,2011,Anchor,English,387,4.6,"A fantasy novel about a magical competition.",978-0307744432,15.99
206,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,2013,William Morrow,English,181,4.7,"A fantasy novel about childhood memories and magic.",978-0062255655,14.99
207,The Song of Achilles,Madeline Miller,Historical Fiction,2011,Ecco,English,416,4.8,"A retelling of the Iliad from Patroclus's perspective.",978-0062060624,15.99
208,The Book Thief,Markus Zusak,Historical Fiction,2005,Knopf,English,552,4.7,"A novel about a young girl in Nazi Germany.",978-0375842207,12.99
209,The Da Vinci Code,Dan Brown,Thriller,2003,Anchor,English,489,4.2,"A mystery thriller about a conspiracy in the Catholic Church.",978-0307474278,9.99
210,The Hunger Games,Suzanne Collins,Dystopian,2008,Scholastic Press,English,374,4.7,"A dystopian novel about a televised fight to the death.",978-0439023481,14.99
211,The Fault in Our Stars,John Green,Romance,2012,Dutton Books,English,313,4.7,"A young adult novel about two teenagers with cancer.",978-0525478812,12.99
212,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,2005,Vintage,English,465,4.4,"A crime thriller about a journalist and a hacker.",978-0307454546,15.99
213,The Help,Kathryn Stockett,Historical Fiction,2009,Berkley,English,451,4.8,"A novel about African American maids in 1960s Mississippi.",978-0425232200,16.99
214,The Martian,Andy Weir,Science Fiction,2011,Broadway Books,English,369,4.7,"A science fiction novel about an astronaut stranded on Mars.",978-0553418026,15.99
215,The Handmaid's Tale,Margaret Atwood,Dystopian,1985,Anchor,English,311,4.7,"A dystopian novel about a totalitarian society.",978-0525562627,14.99
216,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,DAW,English,662,4.8,"A fantasy novel about a musician and magician.",978-0756404741,17.99
217,The Silent Patient,Alex Michaelides,Thriller,2019,Celadon Books,English,352,4.5,"A psychological thriller about a woman who shoots her husband.",978-1250301697,16.99
218,The Midnight Library,Matt Haig,Fantasy,2020,Viking,English,304,4.4,"A novel about infinite possibilities and parallel lives.",978-0525559474,15.99
219,Project Hail Mary,Andy Weir,Science Fiction,2021,Ballantine Books,English,496,4.8,"A science fiction novel about an astronaut's mission to save humanity.",978-1524741338,17.99
220,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,2017,Atria Books,English,389,4.7,"A novel about a reclusive Hollywood legend.",978-1501161933,16.99
221,Verity,Colleen Hoover,Thriller,2018,Grand Central Publishing,English,336,4.6,"A psychological thriller about a writer's dark secrets.",978-1538724736,15.99
222,The House in the Cerulean Sea,T.J. Klune,Fantasy,2020,Tor Books,English,398,4.8,"A fantasy novel about a caseworker at a magical orphanage.",978-1250217288,16.99
223,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,2020,Tor Books,English,448,4.7,"A fantasy novel about a woman who makes a Faustian bargain.",978-0765387561,17.99
224,The Thursday Murder Club,Richard Osman,Mystery,2020,Pamela Dorman Books,English,384,4.5,"A mystery novel about a group of elderly friends solving crimes.",978-0241988268,16.99
225,The Last Thing He Told Me,Laura Dave,Thriller,2021,Simon & Schuster,English,320,4.6,"A thriller about a woman searching for her missing husband.",978-1501171345,15.99
226,The Lincoln Highway,Amor Towles,Historical Fiction,2021,Viking,English,592,4.7,"A novel about a road trip across 1950s America.",978-0735222359,18.99
227,The Paris Apartment,Lucy Foley,Thriller,2022,William Morrow,English,416,4.4,"A thriller set in a Paris apartment building.",978-0008384745,16.99
228,The Maid,Nita Prose,Mystery,2022,Ballantine Books,English,304,4.5,"A mystery novel about a hotel maid who finds a dead guest.",978-0593356159,15.99
229,The Great Expectations,Charles Dickens,Classic,1861,Penguin Classics,English,544,4.7,"A coming-of-age novel about Pip's journey to becoming a gentleman.",978-0141439563,9.99
230,The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,Penguin Classics,English,1276,4.8,"An adventure novel about revenge and redemption.",978-0140449266,12.99
231,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880,Penguin Classics,English,796,4.8,"A philosophical novel about family, faith, and morality.",978-0140449242,14.99
232,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,Penguin Classics,English,254,4.6,"A Gothic novel about a man who remains young while his portrait ages.",978-0141439570,7.99
233,The Bell Jar,Sylvia Plath,Psychological,1963,Harper Perennial,English,288,4.5,"A semi-autobiographical novel about mental illness.",978-0060837020,14.99
234,The Road,Cormac McCarthy,Post-Apocalyptic,2006,Vintage,English,287,4.7,"A post-apocalyptic novel about a father and son's journey.",978-0307387899,15.99
235,The Secret History,Donna Tartt,Psychological,1992,Vintage,English,559,4.5,"A psychological thriller about a group of classics students.",978-1400031702,16.99
236,The Goldfinch,Donna Tartt,Drama,2013,Little,English,771,4.4,"A novel about a boy who survives a terrorist attack.",978-0316055437,18.99
237,The Night Circus,Erin Morgenstern,Fantasy,2011,Anchor,English,387,4.6,"A fantasy novel about a magical competition.",978-0307744432,15.99
238,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,2013,William Morrow,English,181,4.7,"A fantasy novel about childhood memories and magic.",978-0062255655,14.99
239,The Song of Achilles,Madeline Miller,Historical Fiction,2011,Ecco,English,416,4.8,"A retelling of the Iliad from Patroclus's perspective.",978-0062060624,15.99
240,The Book Thief,Markus Zusak,Historical Fiction,2005,Knopf,English,552,4.7,"A novel about a young girl in Nazi Germany.",978-0375842207,12.99
241,The Da Vinci Code,Dan Brown,Thriller,2003,Anchor,English,489,4.2,"A mystery thriller about a conspiracy in the Catholic Church.",978-0307474278,9.99
242,The Hunger Games,Suzanne Collins,Dystopian,2008,Scholastic Press,English,374,4.7,"A dystopian novel about a televised fight to the death.",978-0439023481,14.99
243,The Fault in Our Stars,John Green,Romance,2012,Dutton Books,English,313,4.7,"A young adult novel about two teenagers with cancer.",978-0525478812,12.99
244,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,2005,Vintage,English,465,4.4,"A crime thriller about a journalist and a hacker.",978-0307454546,15.99
245,The Help,Kathryn Stockett,Historical Fiction,2009,Berkley,English,451,4.8,"A novel about African American maids in 1960s Mississippi.",978-0425232200,16.99
246,The Martian,Andy Weir,Science Fiction,2011,Broadway Books,English,369,4.7,"A science fiction novel about an astronaut stranded on Mars.",978-0553418026,15.99
247,The Handmaid's Tale,Margaret Atwood,Dystopian,1985,Anchor,English,311,4.7,"A dystopian novel about a totalitarian society.",978-0525562627,14.99
248,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,DAW,English,662,4.8,"A fantasy novel about a musician and magician.",978-0756404741,17.99
249,The Silent Patient,Alex Michaelides,Thriller,2019,Celadon Books,English,352,4.5,"A psychological thriller about a woman who shoots her husband.",978-1250301697,16.99
250,The Midnight Library,Matt Haig,Fantasy,2020,Viking,English,304,4.4,"A novel about infinite possibilities and parallel lives.",978-0525559474,15.99
251,Project Hail Mary,Andy Weir,Science Fiction,2021,Ballantine Books,English,496,4.8,"A science fiction novel about an astronaut's mission to save humanity.",978-1524741338,17.99
252,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,2017,Atria Books,English,389,4.7,"A novel about a reclusive Hollywood legend.",978-1501161933,16.99
253,Verity,Colleen Hoover,Thriller,2018,Grand Central Publishing,English,336,4.6,"A psychological thriller about a writer's dark secrets.",978-1538724736,15.99
254,The House in the Cerulean Sea,T.J. Klune,Fantasy,2020,Tor Books,English,398,4.8,"A fantasy novel about a caseworker at a magical orphanage.",978-1250217288,16.99
255,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,2020,Tor Books,English,448,4.7,"A fantasy novel about a woman who makes a Faustian bargain.",978-0765387561,17.99
256,The Thursday Murder Club,Richard Osman,Mystery,2020,Pamela Dorman Books,English,384,4.5,"A mystery novel about a group of elderly friends solving crimes.",978-0241988268,16.99
257,The Last Thing He Told Me,Laura Dave,Thriller,2021,Simon & Schuster,English,320,4.6,"A thriller about a woman searching for her missing husband.",978-1501171345,15.99
258,The Lincoln Highway,Amor Towles,Historical Fiction,2021,Viking,English,592,4.7,"A novel about a road trip across 1950s America.",978-0735222359,18.99
259,The Paris Apartment,Lucy Foley,Thriller,2022,William Morrow,English,416,4.4,"A thriller set in a Paris apartment building.",978-0008384745,16.99
260,The Maid,Nita Prose,Mystery,2022,Ballantine Books,English,304,4.5,"A mystery novel about a hotel maid who finds a dead guest.",978-0593356159,15.99
261,The Great Expectations,Charles Dickens,Classic,1861,Penguin Classics,English,544,4.7,"A coming-of-age novel about Pip's journey to becoming a gentleman.",978-0141439563,9.99
262,The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,Penguin Classics,English,1276,4.8,"An adventure novel about revenge and redemption.",978-0140449266,12.99
263,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880,Penguin Classics,English,796,4.8,"A philosophical novel about family, faith, and morality.",978-0140449242,14.99
264,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,Penguin Classics,English,254,4.6,"A Gothic novel about a man who remains young while his portrait ages.",978-0141439570,7.99
265,The Bell Jar,Sylvia Plath,Psychological,1963,Harper Perennial,English,288,4.5,"A semi-autobiographical novel about mental illness.",978-0060837020,14.99
266,The Road,Cormac McCarthy,Post-Apocalyptic,2006,Vintage,English,287,4.7,"A post-apocalyptic novel about a father and son's journey.",978-0307387899,15.99
267,The Secret History,Donna Tartt,Psychological,1992,Vintage,English,559,4.5,"A psychological thriller about a group of classics students.",978-1400031702,16.99
268,The Goldfinch,Donna Tartt,Drama,2013,Little,English,771,4.4,"A novel about a boy who survives a terrorist attack.",978-0316055437,18.99
269,The Night Circus,Erin Morgenstern,Fantasy,2011,Anchor,English,387,4.6,"A fantasy novel about a magical competition.",978-0307744432,15.99
270,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,2013,William Morrow,English,181,4.7,"A fantasy novel about childhood memories and magic.",978-0062255655,14.99
271,The Song of Achilles,Madeline Miller,Historical Fiction,2011,Ecco,English,416,4.8,"A retelling of the Iliad from Patroclus's perspective.",978-0062060624,15.99
272,The Book Thief,Markus Zusak,Historical Fiction,2005,Knopf,English,552,4.7,"A novel about a young girl in Nazi Germany.",978-0375842207,12.99
273,The Da Vinci Code,Dan Brown,Thriller,2003,Anchor,English,489,4.2,"A mystery thriller about a conspiracy in the Catholic Church.",978-0307474278,9.99
274,The Hunger Games,Suzanne Collins,Dystopian,2008,Scholastic Press,English,374,4.7,"A dystopian novel about a televised fight to the death.",978-0439023481,14.99
275,The Fault in Our Stars,John Green,Romance,2012,Dutton Books,English,313,4.7,"A young adult novel about two teenagers with cancer.",978-0525478812,12.99
276,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,2005,Vintage,English,465,4.4,"A crime thriller about a journalist and a hacker.",978-0307454546,15.99
277,The Help,Kathryn Stockett,Historical Fiction,2009,Berkley,English,451,4.8,"A novel about African American maids in 1960s Mississippi.",978-0425232200,16.99
278,The Martian,Andy Weir,Science Fiction,2011,Broadway Books,English,369,4.7,"A science fiction novel about an astronaut stranded on Mars.",978-0553418026,15.99
279,The Handmaid's Tale,Margaret Atwood,Dystopian,1985,Anchor,English,311,4.7,"A dystopian novel about a totalitarian society.",978-0525562627,14.99
280,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,DAW,English,662,4.8,"A fantasy novel about a musician and magician.",978-0756404741,17.99
281,The Silent Patient,Alex Michaelides,Thriller,2019,Celadon Books,English,352,4.5,"A psychological thriller about a woman who shoots her husband.",978-1250301697,16.99
282,The Midnight Library,Matt Haig,Fantasy,2020,Viking,English,304,4.4,"A novel about infinite possibilities and parallel lives.",978-0525559474,15.99
283,Project Hail Mary,Andy Weir,Science Fiction,2021,Ballantine Books,English,496,4.8,"A science fiction novel about an astronaut's mission to save humanity.",978-1524741338,17.99
284,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,2017,Atria Books,English,389,4.7,"A novel about a reclusive Hollywood legend.",978-1501161933,16.99
285,Verity,Colleen Hoover,Thriller,2018,Grand Central Publishing,English,336,4.6,"A psychological thriller about a writer's dark secrets.",978-1538724736,15.99
286,The House in the Cerulean Sea,T.J. Klune,Fantasy,2020,Tor Books,English,398,4.8,"A fantasy novel about a caseworker at a magical orphanage.",978-1250217288,16.99
287,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,2020,Tor Books,English,448,4.7,"A fantasy novel about a woman who makes a Faustian bargain.",978-0765387561,17.99
288,The Thursday Murder Club,Richard Osman,Mystery,2020,Pamela Dorman Books,English,384,4.5,"A mystery novel about a group of elderly friends solving crimes.",978-0241988268,16.99
289,The Last Thing He Told Me,Laura Dave,Thriller,2021,Simon & Schuster,English,320,4.6,"A thriller about a woman searching for her missing husband.",978-1501171345,15.99
290,The Lincoln Highway,Amor Towles,Historical Fiction,2021,Viking,English,592,4.7,"A novel about a road trip across 1950s America.",978-0735222359,18.99
291,The Paris Apartment,Lucy Foley,Thriller,2022,William Morrow,English,416,4.4,"A thriller set in a Paris apartment building.",978-0008384745,16.99
292,The Maid,Nita Prose,Mystery,2022,Ballantine Books,English,304,4.5,"A mystery novel about a hotel maid who finds a dead guest.",978-0593356159,15.99
293,The Great Expectations,Charles Dickens,Classic,1861,Penguin Classics,English,544,4.7,"A coming-of-age novel about Pip's journey to becoming a gentleman.",978-0141439563,9.99
294,The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,Penguin Classics,English,1276,4.8,"An adventure novel about revenge and redemption.",978-0140449266,12.99
295,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880,Penguin Classics,English,796,4.8,"A philosophical novel about family, faith, and morality.",978-0140449242,14.99
296,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,Penguin Classics,English,254,4.6,"A Gothic novel about a man who remains young while his portrait ages.",978-0141439570,7.99
297,The Bell Jar,Sylvia Plath,Psychological,1963,Harper Perennial,English,288,4.5,"A semi-autobiographical novel about mental illness.",978-0060837020,14.99
298,The Road,Cormac McCarthy,Post-Apocalyptic,2006,Vintage,English,287,4.7,"A post-apocalyptic novel about a father and son's journey.",978-0307387899,15.99
299,The Secret History,Donna Tartt,Psychological,1992,Vintage,English,559,4.5,"A psychological thriller about a group of classics students.",978-1400031702,16.99
300,The Goldfinch,Donna Tartt,Drama,2013,Little,English,771,4.4,"A novel about a boy who survives a terrorist attack.",978-0316055437,18.99
301,Godaan,Munshi Premchand,Fiction,1936,HarperCollins,Hindi,320,4.7,"A classic Hindi novel about rural India and the struggles of a poor farmer.",978-8171673406,12.99
302,Raag Darbari,Shrilal Shukla,Satire,1968,Harper Perennial,Hindi,344,4.6,"A satirical novel depicting rural Indian life and politics.",978-8126715185,13.99
303,Maila Anchal,Phanishwar Nath Renu,Fiction,1954,Bharatiya Jnanpith,Hindi,400,4.5,"A novel set in rural Bihar, known for its regional realism.",978-8126300367,11.99
304,Chandrakanta,Devaki Nandan Khatri,Fantasy,1888,Bharatiya Jnanpith,Hindi,400,4.4,"A pioneering Hindi fantasy novel with magical adventures.",978-8126300374,10.99
305,Gaban,Munshi Premchand,Fiction,1931,HarperCollins,Hindi,312,4.5,"A story about greed, love, and social pressures in Indian society.",978-8171673413,12.99
306,Kamayani,Jaishankar Prasad,Poetry,1936,Bharatiya Jnanpith,Hindi,250,4.7,"A celebrated Hindi epic poem exploring philosophy and emotion.",978-8126300381,9.99
307,Pinjar,Amrita Pritam,Historical Fiction,1950,Hind Pocket Books,Hindi,200,4.6,"A novel about the trauma of Partition, focusing on women.",978-8121615466,10.99
308,Suraj Ka Satvan Ghoda,Dharmveer Bharti,Fiction,1952,Bharatiya Jnanpith,Hindi,120,4.5,"A novella exploring the complexities of love and storytelling.",978-8126300398,8.99
309,Kitne Pakistan,Kamal Kishore Goenka,Historical,2000,Rajkamal Prakashan,Hindi,350,4.4,"A novel reflecting on the idea of partition and identity.",978-8126300404,13.99
310,Tyagpatra,Premchand,Fiction,1933,HarperCollins,Hindi,180,4.3,"A story about sacrifice and the status of women in society.",978-8171673420,9.99
311,Prem Pachisi,Munshi Premchand,Short Stories,1921,HarperCollins,Hindi,250,4.6,"A collection of 25 short stories by Premchand.",978-8171673437,11.99
312,Parineeta,Sarat Chandra Chattopadhyay,Romance,1914,HarperCollins,Hindi,200,4.5,"A romantic novel about love and social class.",978-8171673444,10.99
313,Do Bailon Ki Katha,Premchand,Fiction,1917,HarperCollins,Hindi,80,4.7,"A touching story about two oxen and their bond.",978-8171673451,7.99
314,Shesher Kabita,Rabindranath Tagore,Romance,1929,HarperCollins,Hindi,180,4.6,"A poetic love story by Tagore, translated into Hindi.",978-8171673468,9.99
315,Andhere Mein,Harishankar Parsai,Satire,1961,Rajkamal Prakashan,Hindi,180,4.5,"A collection of satirical essays on Indian society.",978-8126300411,8.99
316,Ek Gadhe Ki Atmakatha,Krishna Chander,Satire,1957,Rajkamal Prakashan,Hindi,160,4.4,"A satirical novel narrated by a donkey.",978-8126300428,8.99
317,Alka,Shivani,Fiction,1960,Rajkamal Prakashan,Hindi,220,4.3,"A popular Hindi novel by the celebrated author Shivani.",978-8126300435,9.99
318,Mitro Marjani,Krishna Sobti,Fiction,1966,HarperCollins,Hindi,180,4.5,"A bold novel about female desire and rural life.",978-8171673475,10.99
319,Ret Samadhi,Geetanjali Shree,Fiction,2018,HarperCollins,Hindi,376,4.6,"A Booker Prize-winning novel about an elderly woman's journey.",978-9356290770,14.99
320,Tabadala,Rajendra Yadav,Fiction,1966,Rajkamal Prakashan,Hindi,200,4.4,"A novel about bureaucracy and human relationships.",978-8126300442,9.99
321,Naalukettu,M.T. Vasudevan Nair,Fiction,1958,DC Books,Malayalam,320,4.8,"A classic Malayalam novel about a Nair family in Kerala.",978-8126400012,12.99
322,Kayar,Thakazhi Sivasankara Pillai,Fiction,1978,DC Books,Malayalam,1200,4.7,"An epic novel tracing the history of Kerala's people.",978-8126400029,18.99
323,Chemmeen,Thakazhi Sivasankara Pillai,Fiction,1956,DC Books,Malayalam,224,4.6,"A tragic love story set in a fishing village.",978-8126400036,10.99
324,Manju,M.T. Vasudevan Nair,Fiction,1964,DC Books,Malayalam,160,4.5,"A novel set in the misty hills of Munnar.",978-8126400043,8.99
325,Oru Desathinte Katha,S.K. Pottekkatt,Fiction,1971,DC Books,Malayalam,600,4.7,"A semi-autobiographical novel about a man's travels.",978-8126400050,14.99
326,Pathummayude Aadu,Vaikom Muhammad Basheer,Fiction,1959,DC Books,Malayalam,120,4.8,"A humorous novel about family life in Kerala.",978-8126400067,7.99
327,Balyakalasakhi,Vaikom Muhammad Basheer,Romance,1944,DC Books,Malayalam,120,4.7,"A tragic love story set in Kerala.",978-8126400074,8.99
328,Mathilukal,Vaikom Muhammad Basheer,Fiction,1965,DC Books,Malayalam,120,4.6,"A love story set in prison.",978-8126400081,8.99
329,Ente Katha,Kamala Surayya,Autobiography,1973,DC Books,Malayalam,200,4.7,"The autobiography of the famous Malayalam writer.",978-8126400098,11.99
330,Indulekha,O. Chandu Menon,Fiction,1889,DC Books,Malayalam,300,4.6,"The first major Malayalam novel, about a progressive woman.",978-8126400104,10.99
331,Mayyazhippuzhayude Theerangalil,M. Mukundan,Fiction,1974,DC Books,Malayalam,400,4.5,"A novel set in the former French colony of Mahe.",978-8126400111,12.99
332,Arabi Ponnu,M. T. Vasudevan Nair & Madhavikkutty,Fiction,1971,DC Books,Malayalam,350,4.4,"A novel about the gold trade in Kerala.",978-8126400128,11.99
333,Daivathinte Vikrithikal,M. Mukundan,Fiction,1992,DC Books,Malayalam,250,4.5,"A novel about the changes in Mahe after independence.",978-8126400135,10.99
334,Anubhavangal Palichakal,Thakazhi Sivasankara Pillai,Fiction,1958,DC Books,Malayalam,350,4.6,"A novel about the struggles of the working class.",978-8126400142,11.99
335,Verukal,M.T. Vasudevan Nair,Fiction,1966,DC Books,Malayalam,200,4.7,"A novel about family roots and nostalgia.",978-8126400159,9.99
336,Thiranjedutha Kathakal,Vaikom Muhammad Basheer,Short Stories,1972,DC Books,Malayalam,300,4.8,"A collection of selected short stories.",978-8126400166,12.99
337,Neermathalam Pootha Kalam,Madhavikkutty,Short Stories,1972,DC Books,Malayalam,200,4.6,"A collection of short stories by Kamala Das.",978-8126400173,10.99
338,Chidambara Rahasyam,Subhash Chandran,Fiction,2010,DC Books,Malayalam,400,4.5,"A novel about the mysteries of life and death.",978-8126400180,13.99
339,Meesha,S. Hareesh,Fiction,2018,DC Books,Malayalam,400,4.7,"A novel exploring caste and identity in Kerala.",978-8126400197,14.99
340,Pravasam,M. Mukundan,Fiction,2008,DC Books,Malayalam,350,4.6,"A novel about the Malayali diaspora.",978-8126400203,12.99
341,Shankhumukham,Subhash Chandran,Fiction,2014,DC Books,Malayalam,300,4.5,"A novel set in the coastal region of Kerala.",978-8126400210,11.99
342,Paradesi,Abdul Rahman,Fiction,2007,DC Books,Malayalam,250,4.4,"A novel about migration and displacement.",978-8126400227,10.99
343,Premalekhanam,Vaikom Muhammad Basheer,Romance,1943,DC Books,Malayalam,120,4.7,"A humorous love story.",978-8126400234,8.99
344,Ottal,Geethu Mohandas,Children's Fiction,2014,DC Books,Malayalam,100,4.6,"A story about a boy and his grandfather.",978-8126400241,7.99
345,Swapnam,Vaikom Muhammad Basheer,Fiction,1951,DC Books,Malayalam,120,4.5,"A novel about dreams and reality.",978-8126400258,8.99
346,Thakazhi Kathakal,Thakazhi Sivasankara Pillai,Short Stories,1970,DC Books,Malayalam,300,4.7,"A collection of short stories.",978-8126400265,12.99
347,Sooryante Maranum,Vaikom Muhammad Basheer,Fiction,1977,DC Books,Malayalam,120,4.6,"A novel about the end of an era.",978-8126400272,8.99
348,Pathiravayilla Raavil,Vaikom Muhammad Basheer,Fiction,1959,DC Books,Malayalam,120,4.5,"A story about a night without midnight.",978-8126400289,8.99
349,Shavam,Subhash Chandran,Fiction,2015,DC Books,Malayalam,300,4.4,"A novel about death and the afterlife.",978-8126400296,10.99
350,Chuvappu Naada,Vaikom Muhammad Basheer,Fiction,1960,DC Books,Malayalam,120,4.5,"A novel about revolution and change.",978-8126400302,8.99
351,Chila Nerangalil Chila Manushyar,Malayattoor Ramakrishnan,Fiction,1970,DC Books,Malayalam,250,4.6,"A novel about human nature and relationships.",978-8126400319,11.99
352,Pathummayude Aadu,Vaikom Muhammad Basheer,Fiction,1959,DC Books,Malayalam,120,4.8,"A humorous novel about family life in Kerala.",978-8126400326,7.99
353,Mathilukal,Vaikom Muhammad Basheer,Fiction,1965,DC Books,Malayalam,120,4.6,"A love story set in prison.",978-8126400333,8.99
354,Ente Katha,Kamala Surayya,Autobiography,1973,DC Books,Malayalam,200,4.7,"The autobiography of the famous Malayalam writer.",978-8126400340,11.99
355,Indulekha,O. Chandu Menon,Fiction,1889,DC Books,Malayalam,300,4.6,"The first major Malayalam novel, about a progressive woman.",978-8126400357,10.99
356,Mayyazhippuzhayude Theerangalil,M. Mukundan,Fiction,1974,DC Books,Malayalam,400,4.5,"A novel set in the former French colony of Mahe.",978-8126400364,12.99
357,Arabi Ponnu,M. T. Vasudevan Nair & Madhavikkutty,Fiction,1971,DC Books,Malayalam,350,4.4,"A novel about the gold trade in Kerala.",978-8126400371,11.99
358,Daivathinte Vikrithikal,M. Mukundan,Fiction,1992,DC Books,Malayalam,250,4.5,"A novel about the changes in Mahe after independence.",978-8126400388,10.99
359,Anubhavangal Palichakal,Thakazhi Sivasankara Pillai,Fiction,1958,DC Books,Malayalam,350,4.6,"A novel about the struggles of the working class.",978-8126400395,11.99
